,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
139,prego entrecote,6.637194244604316,417.0,0.07037647831960109,2019-02-01,2767.71,7.1,0.46280575539568325,CO,3.071731696081982
140,prego lombo,6.637203389830509,472.0,0.062175915033409156,2019-02-01,3132.76,7.05,0.4127966101694911,CO,2.7398150603274893
141,prego maminha,5.486710182767624,383.0,0.06334207766179561,2022-02-01,2101.41,5.83,0.3432898172323764,CO,1.883531735849316
142,prego picanha,5.486695652173913,230.0,0.1054780499828384,2018-02-01,1261.94,6.07,0.5833043478260871,CO,3.200413429111532
143,prego vazia,6.194692982456141,228.0,0.12013346338957893,2022-02-01,1412.39,6.94,0.7453070175438592,CO,4.6169481513542605
144,salada mista,1.327404426559356,497.0,0.011809348269776884,2018-02-01,659.72,1.34,0.012595573440643992,CO,0.016719419940164293
145,secretos prato,9.734545454545454,77.0,0.5589899629860836,2017-02-01,749.56,15.18,5.445454545454545,CO,53.00902479338843
146,vazia prato,10.619508196721311,488.0,0.09621962061959691,2019-02-01,5182.32,11.64,1.0204918032786896,CO,10.837121069604956
147,batata wedge,1.3273993644067796,1888.0,0.0031086989975029544,2017-03-01,2506.13,1.33,0.002600635593220435,CO,0.0034520820334944537
148,chuleton 450g,16.26025974025974,77.0,0.9337181723372326,2017-03-01,1252.04,31.44,15.17974025974026,CO,246.82651941305448
149,costeletas de borrego prato,11.504390934844194,353.0,0.14410132812804052,2019-03-01,4061.0500000000006,13.16,1.6556090651558062,CO,19.04677392082433
150,entrecote prato,11.504397590361444,996.0,0.051072086603621177,2017-03-01,11458.38,12.09,0.5856024096385557,CO,6.737002950355656
151,lombo maturado prato,14.159272727272727,55.0,1.1383015185002978,2019-03-01,778.76,30.28,16.120727272727272,CO,228.2577740165289
152,lombo prato,11.504393442622952,610.0,0.08338980314357837,2019-03-01,7017.68,12.46,0.9556065573770489,CO,10.993673812416015
153,maminha prato,9.734492753623188,621.0,0.0693107795937872,2017-03-01,6045.12,10.41,0.6755072463768119,CO,6.575720394875029
154,pao,1.3274324324324325,74.0,0.07931580973966504,2019-03-01,98.23,1.43,0.10256756756756746,CO,0.13615151570489395
155,pica-pau,5.75219262295082,488.0,0.05211858983093516,2017-03-01,2807.07,6.05,0.29780737704918003,CO,1.7130453973226267
156,picanha prato,9.734499332443258,749.0,0.05746598560297236,2022-03-01,7291.14,10.29,0.5555006675567409,CO,5.407520877502878
157,prego entrecote,6.637199074074074,432.0,0.06793290003064299,2019-03-01,2867.27,7.09,0.452800925925926,CO,3.0053298862954394
158,prego lombo,6.637193675889328,506.0,0.05799800186688883,2017-03-01,3358.42,7.02,0.38280632411067117,CO,2.540759713477787
159,prego maminha,5.486707317073171,410.0,0.05917073920371859,2016-03-01,2249.55,5.81,0.32329268292682833,CO,1.7738123289708458
160,prego picanha,5.48671186440678,295.0,0.08223736671185312,2017-03-01,1618.58,5.94,0.4532881355932208,CO,2.4870613915541537
161,prego secretos,5.486666666666666,66.0,0.3675730808159123,2018-03-01,362.12,7.5,2.0133333333333336,CO,11.04648888888889
162,prego vazia,6.194701195219123,251.0,0.10912536241571262,2016-03-01,1554.87,6.87,0.6752988047808772,CO,4.183274313106145
163,salada mista,1.3273972602739728,584.0,0.010050024663802047,2018-03-01,775.2,1.34,0.012602739726027323,CO,0.016728842184274628
164,secretos prato,9.734503311258278,151.0,0.28504662787641616,2019-03-01,1469.91,12.51,2.775496688741722,CO,27.018081706942677
165,t-bone steak 450g,16.2602,50.0,1.4379207024534795,2019-03-01,813.0100000000001,39.64,23.3798,CO,380.16022396
166,vazia prato,10.6195,440.0,0.1067162241358482,2017-03-01,4672.58,11.75,1.1304999999999996,CO,12.005344749999997
167,batata wedge,1.3273983315954119,1918.0,0.0030600725446355446,2019-04-01,2545.95,1.33,0.0026016684045881977,CO,0.0034534502996148705
168,chuleton 450g,16.26017543859649,57.0,1.2613320442468545,2017-04-01,926.8299999999999,36.77,20.509824561403512,CO,333.4933455832564
169,costeletas de borrego prato,11.504390934844194,353.0,0.14410132812804052,2017-04-01,4061.0500000000006,13.16,1.6556090651558062,CO,19.04677392082433
170,entrecote prato,11.504395393474088,1042.0,0.048817455415986914,2017-04-01,11987.58,12.07,0.5656046065259126,CO,6.506939029844433
171,lombo maturado prato,14.15938775510204,49.0,1.277695757634801,2016-04-01,693.81,32.25,18.09061224489796,CO,256.1519935027072
172,lombo prato,11.504397759103641,714.0,0.07124341597103154,2018-04-01,8214.14,12.32,0.815602240896359,CO,9.383012592487981
173,maminha prato,9.734498480243161,658.0,0.06541340341723673,2020-04-01,6405.3,10.37,0.6355015197568381,CO,6.1862885782651595
174,pao,1.3274468085106383,94.0,0.062440781765371975,2016-04-01,124.78,1.41,0.08255319148936158,CO,0.10958497057492061
175,pica-pau,5.752205128205128,585.0,0.04347679851398063,2020-04-01,3365.04,6.0,0.2477948717948717,CO,1.4253669322813933
176,picanha prato,9.734501800720288,833.0,0.051671109400180215,2016-04-01,8108.84,10.24,0.5054981992797121,CO,4.92077313114922
177,prego entrecote,6.637189695550351,427.0,0.06872827012926203,2017-04-01,2834.08,7.09,0.452810304449649,CO,3.0053878867322275
178,prego lombo,6.637197106690778,553.0,0.0530687235339307,2018-04-01,3670.37,6.99,0.35280289330922265,CO,2.341622342704108
179,prego maminha,5.486691729323309,399.0,0.06080183997692313,2019-04-01,2189.19,5.82,0.33330827067669144,CO,1.8287597320368576
180,prego picanha,5.486697819314641,321.0,0.0755762027360548,2017-04-01,1761.2299999999998,5.9,0.41330218068535896,CO,2.267664173484345
181,prego secretos,5.486734693877551,49.0,0.49510457393251217,2019-04-01,268.85,8.2,2.713265306122448,CO,14.88696688879633
182,prego vazia,6.1946953405017915,279.0,0.09817362035537344,2017-04-01,1728.32,6.8,0.6053046594982083,CO,3.7496779537775744
183,salada mista,1.3273994252873564,696.0,0.008432793069647834,2016-04-01,923.8700000000001,1.34,0.012600574712643642,CO,0.016725995631853566
184,secretos prato,9.734513274336283,113.0,0.3809034058588017,2017-04-01,1100.0,13.44,3.7054867256637163,CO,36.07110971885034
